"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 11:40:05 AMT 2024","Fri Jun 28 11:40:06 AMT 2024","601","","Booking Retrieval Tests","TestBookingGet","","","Test Retrieve Booking by ID","This test verifies that a booking can be retrieved successfully using its ID."
"passed","Fri Jun 28 11:40:10 AMT 2024","Fri Jun 28 11:40:11 AMT 2024","624","","Update Operations","TestBookingUpdate","","","test_negative_put_booking[condition1]",""
"passed","Fri Jun 28 11:40:16 AMT 2024","Fri Jun 28 11:40:17 AMT 2024","615","","test_4_booking_delete","TestBookingDelete","","","test_delete_bookiing",""
"passed","Fri Jun 28 11:40:08 AMT 2024","Fri Jun 28 11:40:09 AMT 2024","628","","Update Operations","TestBookingUpdate","","","Test updating booking information","Verify that the PUT method updates booking details correctly."
"passed","Fri Jun 28 11:40:15 AMT 2024","Fri Jun 28 11:40:16 AMT 2024","578","","Update Operations","TestBookingUpdate","","","test_negative_patch_booking[condition1]",""
"passed","Fri Jun 28 11:40:17 AMT 2024","Fri Jun 28 11:40:17 AMT 2024","618","","test_4_booking_delete","TestBookingDelete","","","test_negative_delete_bookiing",""
"passed","Fri Jun 28 11:40:09 AMT 2024","Fri Jun 28 11:40:10 AMT 2024","621","","Update Operations","TestBookingUpdate","","","test_negative_put_booking[condition0]",""
"passed","Fri Jun 28 11:40:12 AMT 2024","Fri Jun 28 11:40:12 AMT 2024","640","","Update Operations","TestBookingUpdate","","","test_patch_booking[condition0]",""
"passed","Fri Jun 28 11:40:06 AMT 2024","Fri Jun 28 11:40:07 AMT 2024","591","","Update Operations","TestBookingUpdate","","","Test updating booking information","Verify that the PUT method updates booking details correctly."
"passed","Fri Jun 28 11:40:14 AMT 2024","Fri Jun 28 11:40:15 AMT 2024","586","","Update Operations","TestBookingUpdate","","","test_negative_patch_booking[condition0]",""
"passed","Fri Jun 28 11:40:13 AMT 2024","Fri Jun 28 11:40:14 AMT 2024","678","","Update Operations","TestBookingUpdate","","","test_patch_booking[condition1]",""
"passed","Fri Jun 28 11:40:04 AMT 2024","Fri Jun 28 11:40:04 AMT 2024","724","","Booking Creation Tests","TestBookingPost","","","Test Booking Creation","This test verifies that a new booking can be created successfully."
"passed","Fri Jun 28 11:40:04 AMT 2024","Fri Jun 28 11:40:05 AMT 2024","780","","Booking Retrieval Tests","TestBookingGet","","","Test Retrieve All Bookings","This test verifies that all bookings can be retrieved successfully."
